Author,Betweenness,Cluster_Rank,Coreness,Decay,Degree,Diffusion,Dispersion,Eccentricity,Eigenvector,EvidentialSemiLocal,Harmonic,Katz,Load,Local_Structural,PageRank,Percolation,Radiality,SecondOrder,Semi_Local,Subgraph,VoteRank,Closeness,Class
E Hutchins,0,0,1,3060.65625,1.903456677326024e-05,3596.9301250000008,0,8,5.841557617022102e-05,5834.300430711944,12163.338095239957,0.001840483,0,0,6.451758773294291e-06,0,0.6131753434218458,0.6066496705818621,5856,7.233196823876893e-05,0,0.2265058217550872,Nonawardee
Jz Leibo…,0,5.710370031978072e-05,3,3061.28125,5.710370031978072e-05,3815.5586250000006,0,8,5.977788420532069e-05,5823.080321486638,12164.504761906624,0.001875937,0,6,1.4045698788541639e-05,0,0.6131801021541194,0.6068804754336905,5845,8.415689495479975e-05,0,0.22650917807644247,Nonawardee
Ge Dahl,0,5.710370031978072e-05,3,3061.28125,5.710370031978072e-05,3820.4716250000006,0,8,5.991427046326689e-05,5825.180144268467,12164.504761906624,0.001876014,0,6,1.3767249335770476e-05,0,0.6131801021541194,0.6068804754336905,5847,8.323066703661277e-05,0,0.22650917807644247,Nonawardee
D Touretzky,0,0,1,3060.65625,1.903456677326024e-05,3596.9301250000008,0,8,5.841557617022102e-05,5834.300430711944,12163.338095239957,0.001840483,0,0,6.451758773294291e-06,0,0.6131753434218458,0.6066496705818621,5856,7.233196823876897e-05,0,0.2265058217550872,Nonawardee
Jr Movellan…,0,3.806913354652048e-05,2,3060.90625,3.806913354652048e-05,3695.190125000001,0,8,5.905699784385579e-05,5831.508300978662,12163.838095239957,0.001857631,0,2,1.1243573174623136e-05,0,0.61317693,0.6067378086214855,5853,7.635612519516246e-05,0,0.22650694051782055,Nonawardee
Sd Wang,0,3.806913354652048e-05,2,3060.90625,3.806913354652048e-05,3704.4020000000005,0,8,5.9095070433355406e-05,5828.303359,12163.838095239957,0.001858129,0,2,1.032013252499684e-05,0,0.61317693,0.6067378086214855,5850,7.773140732217197e-05,0,0.22650694051782055,Nonawardee
W Chan,0,3.806913354652048e-05,2,3060.90625,3.806913354652048e-05,3695.190125000001,0,8,5.905699784385579e-05,5831.508300978662,12163.838095239957,0.001857631,0,2,1.1243573174623136e-05,0,0.61317693,0.6067378086214855,5853,7.635612519516248e-05,0,0.22650694051782055,Nonawardee
G Yeo…,0,0,1,3060.65625,1.903456677326024e-05,3596.9301250000008,0,8,5.841557617022102e-05,5834.300430711944,12163.338095239957,0.001840483,0,0,6.451758773294291e-06,0,0.6131753434218458,0.6066496705818621,5856,7.2331968238769e-05,0,0.2265058217550872,Nonawardee
V Vanhoucke,0,3.806913354652048e-05,2,3060.90625,3.806913354652048e-05,3699.489000000001,0,8,5.907176944339872e-05,5830.412172754151,12163.838095239957,0.001857803,0,2,1.0477808886544783e-05,0,0.61317693,0.6067378086214855,5852,7.676647968040964e-05,0,0.22650694051782055,Nonawardee
V Mnih,10499.571472100675,4.894602884552633e-05,3,3062.90625,0.000152277,4523.030625000002,0.4795664157334405,8,6.565301181881942e-05,5808.085154886222,12167.504761906624,0.001964778,1.545643653324122e-05,18,3.415073209264083e-05,5.936761867430912e-08,0.6131927921068494,0.6074843175844618,5830,0.000136977,0,0.22651812875302405,Nonawardee
K Bao,0,3.806913354652048e-05,2,3060.90625,3.806913354652048e-05,3704.4020000000005,0,8,5.911188547653902e-05,5829.341839974467,12163.838095239957,0.001857986,0,2,1.0376618365152784e-05,0,0.61317693,0.6067378086214855,5851,7.777685141641916e-05,0,0.22650694051782055,Nonawardee
Sj Nowlan,0,0,1,3060.65625,1.903456677326024e-05,3596.9301250000008,0,8,5.841557617022102e-05,5834.300430711944,12163.338095239957,0.001840483,0,0,6.451758773294291e-06,0,0.6131753434218458,0.6066496705818621,5856,7.233196823876901e-05,0,0.2265058217550872,Nonawardee
Mc Mozer,0,3.806913354652048e-05,2,3060.90625,3.806913354652048e-05,3701.331375,0,8,5.90648754030362e-05,5830.412172754151,12163.838095239957,0.001857801,0,2,1.0716202865515018e-05,0,0.61317693,0.6067378086214855,5852,7.69470230934012e-05,0,0.22650694051782055,Nonawardee
A Graves,0,3.806913354652048e-05,2,3061.03125,3.806913354652048e-05,3714.8421250000006,0,8,5.926302858934101e-05,5830.204328,12164.00476190662,0.001858541,0,2,1.0027419183158161e-05,0,0.6131785159100283,0.6067923594847826,5852,7.815449845542404e-05,0,0.22650805929160558,Nonawardee
J Goldberger,0,3.806913354652048e-05,2,3068.25,3.806913354652048e-05,3730.8093750000007,0,8,6.012677986303332e-05,5887.199562354934,12174.87142857328,0.001858573,0,2,1.0465525277345931e-05,0,0.6134783160432727,0.6056396877062601,5909,7.648327504748366e-05,0,0.22671970615747422,Nonawardee
Ma Ranzato,15265.838793450055,4.3507581196023405e-05,3,3159.007813,0.000152277,5379.735000000001,0.502134247,8,8.236483745114989e-05,7222.425993743922,12306.683333335215,0.001977854,2.4640459473644432e-05,16,3.3737376688512386e-05,8.858710847216504e-08,0.616655563,0.606031683,7247,0.000139335,0,0.22898726548514226,Nonawardee
